PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;DATASET_TYPE
PRJ_BILLING_036;Billing;4;13;0;0;1;1;1;B
PRJ_BILLING_037;Billing;10;14;0;0;1;0;2;B
PRJ_BILLING_038;Billing;8;13;0;0;1;1;1;B
PRJ_BILLING_039;Billing;10;13;0;0;1;1;1;B
PRJ_BILLING_040;Billing;9;13;0;0;1;1;1;B
PRJ_BILLING_041;Billing;13;13;0;0;1;1;1;B
PRJ_BILLING_042;Billing;11,9;13;0;0;1;1;1;B
PRJ_BILLING_043;Billing;20;13;0;0;2;0;1;B
PRJ_BILLING_044;Billing;14,2;9;0;0;1;0;1;B
PRJ_BILLING_045;Billing;22;36;1;0;3;1;2;B
PRJ_BILLING_046;Billing;17;32;1;0;2;1;2;B
PRJ_BILLING_047;Billing;19;31;1;0;3;1;1;B
PRJ_BILLING_048;Billing;24;41;1;0;3;1;3;B
PRJ_BILLING_049;Billing;18;32;1;0;2;1;2;B
PRJ_BILLING_050;Billing;22;41;1;0;3;1;3;B
PRJ_BILLING_051;Billing;21,5;42;1;1;3;2;1;B
PRJ_BILLING_052;Billing;23;41;1;0;3;1;3;B
PRJ_BILLING_053;Billing;31;51;2;0;3;1;3;B
PRJ_BILLING_054;Billing;10;40;0;0;0;0;8;B
PRJ_BILLING_055;Billing;10,8;22;0;0;2;1;2;B
PRJ_BILLING_056;Billing;20;18;1;0;2;0;0;B
PRJ_BILLING_057;Billing;8,3;13;0;0;1;1;1;B
PRJ_BILLING_058;Billing;3;5;0;0;0;0;1;B
PRJ_BILLING_059;Billing;52;39;0;0;4;3;3;B
PRJ_BILLING_060;Billing;28;33;0;0;2;4;1;B
PRJ_BILLING_061;Billing;23;32;2;0;3;0;0;B
PRJ_BILLING_062;Billing;4;23;1;0;1;1;1;B
PRJ_DATA_001;Data Platform;40;125;1;0;10;5;11;B
PRJ_DATA_002;Data Platform;103;233;15;0;16;1;3;B
PRJ_DATA_003;Data Platform;36,4;84;3;0;5;1;6;B
PRJ_DATA_004;Data Platform;21;65;3;0;4;1;3;B
PRJ_DATA_005;Data Platform;44;84;0;0;0;21;0;B
PRJ_DATA_006;Data Platform;38;80;4;2;2;2;2;B
PRJ_DATA_007;Data Platform;33,8;69;2;0;4;2;5;B
PRJ_DATA_008;Data Platform;87;116;3;0;9;5;6;B
PRJ_DATA_009;Data Platform;14;51;3;0;3;1;1;B
PRJ_DATA_010;Data Platform;10;58;3;0;1;1;4;B
PRJ_DATA_011;Data Platform;18,1;49;1;0;3;3;3;B
PRJ_DATA_012;Data Platform;15;48;0;0;1;1;8;B
PRJ_DATA_013;Data Platform;26;56;1;1;4;2;3;B
PRJ_DATA_014;Data Platform;65,1;82;2;0;5;3;6;B
PRJ_DATA_015;Data Platform;40;60;3;0;4;1;2;B
PRJ_DATA_016;Data Platform;36;60;2;0;3;2;4;B
PRJ_DATA_017;Data Platform;20,2;46;2;0;3;1;2;B
PRJ_DATA_018;Data Platform;13,9;40;1;0;2;3;2;B
PRJ_DATA_019;Data Platform;9,3;36;1;0;2;2;2;B
PRJ_DATA_020;Data Platform;11,3;36;1;0;2;2;2;B
PRJ_DATA_021;Data Platform;18,2;38;3;0;1;1;0;B
PRJ_DATA_022;Data Platform;33;47;2;0;2;1;3;B
PRJ_DATA_023;Data Platform;14,6;34;3;0;1;0;0;B
PRJ_DATA_024;Data Platform;28;39;1;1;2;1;2;B
PRJ_DATA_025;Data Platform;8;27;0;0;2;1;3;B
PRJ_DATA_026;Data Platform;11,9;30;1;1;2;0;1;B
PRJ_DATA_027;Data Platform;7;24;0;1;2;1;1;B
PRJ_DATA_028;Data Platform;25,2;35;0;0;0;0;7;B
PRJ_DATA_029;Data Platform;3,6;18;1;0;2;0;0;B
PRJ_DATA_030;Data Platform;7,1;18;1;0;2;0;0;B
PRJ_DATA_031;Data Platform;15,4;23;0;0;1;1;3;B
PRJ_DATA_032;Data Platform;21,4;24;1;0;1;0;2;B
PRJ_DATA_033;Data Platform;12;22;1;0;2;1;0;B
PRJ_DATA_034;Data Platform;3,6;12;0;0;3;0;0;B
PRJ_DATA_035;Data Platform;5,1;14;1;0;1;0;0;B
PRJ_DATA_036;Data Platform;9;18;0;0;1;1;2;B
PRJ_DATA_037;Data Platform;15;20;0;0;1;4;0;B
PRJ_DATA_038;Data Platform;11;18;0;2;1;0;0;B
PRJ_DATA_039;Data Platform;13;18;0;0;1;1;2;B
PRJ_DATA_040;Data Platform;7,5;14;1;0;1;0;0;B
PRJ_DATA_041;Data Platform;6,6;12;0;0;3;0;0;B
PRJ_DATA_042;Data Platform;66,5;116;10;0;4;0;0;B
PRJ_DATA_043;Data Platform;45,4;79;1;0;6;5;5;B
PRJ_DATA_044;Data Platform;16,5;46;2;0;3;1;2;B
PRJ_DATA_045;Data Platform;50;64;0;0;2;4;8;B
PRJ_DATA_046;Data Platform;15,8;36;1;0;2;2;2;B
PRJ_DATA_047;Data Platform;15,1;33;2;0;2;0;1;B
PRJ_DATA_048;Data Platform;18;28;2;0;2;0;0;B
PRJ_DATA_049;Data Platform;3;12;0;0;0;3;0;B
PRJ_DATA_050;Data Platform;7;16;0;0;0;4;0;B
PRJ_DATA_051;Data Platform;10;13;0;0;1;1;1;B
PRJ_DATA_052;Data Platform;36,4;84;3;0;5;1;6;B
PRJ_DATA_053;Data Platform;33,8;69;2;0;4;2;5;B
PRJ_DATA_054;Data Platform;18,1;49;1;0;3;3;3;B
PRJ_DATA_055;Data Platform;26;56;1;1;4;2;3;B
PRJ_DATA_056;Data Platform;20,2;46;2;0;3;1;2;B
PRJ_DATA_057;Data Platform;13,9;40;1;0;2;3;2;B
PRJ_DATA_058;Data Platform;50;64;0;0;2;4;8;B
PRJ_DATA_059;Data Platform;15,1;33;2;0;2;0;1;B
PRJ_DATA_060;Data Platform;18;28;2;0;2;0;0;B
PRJ_DATA_061;Data Platform;14;51;3;0;3;1;1;B
PRJ_DATA_062;Data Platform;10;58;3;0;1;1;4;B
PRJ_DATA_063;Data Platform;25,2;35;0;0;0;0;7;B
PRJ_DATA_064;Data Platform;3,6;18;1;0;2;0;0;B
PRJ_DATA_065;Data Platform;21,4;24;1;0;1;0;2;B
PRJ_DATA_066;Data Platform;7;16;0;0;0;4;0;B
PRJ_DATA_067;Data Platform;40;125;1;0;10;5;11;B
PRJ_INTEGRATION_001;Integration;28,7;67;0;0;7;1;7;B
PRJ_INTEGRATION_002;Integration;18,7;54;0;0;5;1;6;B
PRJ_INTEGRATION_003;Integration;18,1;51;0;0;3;1;7;B
PRJ_INTEGRATION_004;Integration;33,9;57;0;0;6;2;5;B
PRJ_INTEGRATION_005;Integration;27,5;49;0;0;5;1;5;B
PRJ_INTEGRATION_006;Integration;76,9;117;0;0;13;0;13;B
PRJ_INTEGRATION_007;Integration;21,9;44;0;0;5;1;4;B
PRJ_INTEGRATION_008;Integration;31,6;53;0;0;6;1;5;B
PRJ_INTEGRATION_009;Integration;32,2;53;0;0;6;1;5;B
PRJ_INTEGRATION_010;Integration;25,7;45;0;0;4;1;5;B
PRJ_INTEGRATION_011;Integration;19,6;40;0;0;4;1;4;B
PRJ_INTEGRATION_012;Integration;39,8;54;0;0;4;2;6;B
PRJ_INTEGRATION_013;Integration;26;44;0;0;5;1;4;B
PRJ_INTEGRATION_014;Integration;21,4;40;0;0;4;1;4;B
PRJ_INTEGRATION_015;Integration;23,1;40;0;0;4;1;4;B
PRJ_INTEGRATION_016;Integration;23,7;40;0;0;4;1;4;B
PRJ_INTEGRATION_017;Integration;20,2;36;0;0;3;1;4;B
PRJ_INTEGRATION_018;Integration;10,5;31;0;0;3;1;3;B
PRJ_INTEGRATION_019;Integration;13,1;28;0;0;1;1;4;B
PRJ_INTEGRATION_020;Integration;12,3;27;0;0;2;1;3;B
PRJ_INTEGRATION_021;Integration;22,5;36;0;0;3;1;4;B
PRJ_INTEGRATION_022;Integration;18,7;33;0;0;1;1;5;B
PRJ_INTEGRATION_023;Integration;13,4;27;0;0;2;1;3;B
PRJ_INTEGRATION_024;Integration;26,6;35;0;0;0;0;7;B
PRJ_INTEGRATION_025;Integration;24,6;35;0;0;4;1;3;B
PRJ_INTEGRATION_026;Integration;13,7;26;0;0;3;1;2;B
PRJ_INTEGRATION_027;Integration;9,4;23;0;0;1;1;3;B
PRJ_INTEGRATION_028;Integration;26,9;31;0;0;3;1;3;B
PRJ_INTEGRATION_029;Integration;19,9;31;0;0;3;1;3;B
PRJ_INTEGRATION_030;Integration;11,7;23;0;0;1;1;3;B
PRJ_INTEGRATION_031;Integration;15,4;26;0;0;3;1;2;B
PRJ_INTEGRATION_032;Integration;10,8;22;0;0;2;1;2;B
PRJ_INTEGRATION_033;Integration;9,1;22;0;0;2;1;2;B
PRJ_INTEGRATION_034;Integration;15,9;26;0;0;3;1;2;B
PRJ_INTEGRATION_035;Integration;16,7;26;0;0;3;1;2;B
PRJ_INTEGRATION_036;Integration;12,6;22;0;0;2;1;2;B
PRJ_INTEGRATION_037;Integration;10,5;21;0;0;3;1;1;B
PRJ_INTEGRATION_038;Integration;21,4;26;0;0;3;1;2;B
PRJ_INTEGRATION_039;Integration;6,4;21;0;0;3;1;1;B
PRJ_INTEGRATION_040;Integration;11,7;21;0;0;3;1;1;B
PRJ_INTEGRATION_041;Integration;8,8;18;0;0;2;0;2;B
PRJ_INTEGRATION_042;Integration;6,1;18;0;0;1;1;2;B
PRJ_INTEGRATION_043;Integration;7,6;18;0;0;2;0;2;B
PRJ_INTEGRATION_044;Integration;9,1;18;0;0;1;1;2;B
PRJ_INTEGRATION_045;Integration;8,2;18;0;0;2;0;2;B
PRJ_INTEGRATION_046;Integration;21,9;22;0;0;2;1;2;B
PRJ_INTEGRATION_047;Integration;21,3;22;0;0;2;1;2;B
PRJ_INTEGRATION_048;Integration;9,9;18;0;0;2;0;2;B
PRJ_INTEGRATION_049;Integration;11,1;18;0;0;2;0;2;B
PRJ_INTEGRATION_050;Integration;8,8;17;0;0;2;1;1;B
PRJ_INTEGRATION_051;Integration;8,8;17;0;0;2;1;1;B
PRJ_INTEGRATION_052;Integration;5,3;13;0;0;1;1;1;B
PRJ_INTEGRATION_053;Integration;14,3;18;0;0;1;1;2;B
PRJ_INTEGRATION_054;Integration;10,5;17;0;0;2;1;1;B
PRJ_INTEGRATION_055;Integration;7;13;0;0;1;1;1;B
PRJ_INTEGRATION_056;Integration;11,1;14;0;0;1;0;2;B
PRJ_INTEGRATION_057;Integration;12,3;13;0;0;1;1;1;B
PRJ_INTEGRATION_058;Integration;14;13;0;0;1;1;1;B
PRJ_INTEGRATION_059;Integration;10,5;13;0;0;1;1;1;B
PRJ_INTEGRATION_060;Integration;8,8;13;0;0;1;1;1;B
PRJ_INTEGRATION_061;Integration;7,3;9;0;0;1;0;1;B
PRJ_INTEGRATION_062;Integration;9,1;9;0;0;1;0;1;B
PRJ_INTEGRATION_063;Integration;44,5;71;0;0;8;1;7;B
PRJ_INTEGRATION_064;Integration;27,3;48;0;0;5;2;4;B
PRJ_INTEGRATION_065;Integration;10,8;44;0;0;5;1;4;B
PRJ_INTEGRATION_066;Integration;133,3;136;0;0;12;7;12;B
PRJ_INTEGRATION_067;Integration;29;44;0;0;5;1;4;B
PRJ_INTEGRATION_068;Integration;42,1;46;0;0;4;0;6;B
PRJ_INTEGRATION_069;Integration;21,1;35;0;0;4;1;3;B
PRJ_INTEGRATION_070;Integration;7,3;26;0;0;3;1;2;B
PRJ_INTEGRATION_071;Integration;8,5;22;0;0;2;1;2;B
PRJ_INTEGRATION_072;Integration;17,8;26;0;0;3;1;2;B
PRJ_INTEGRATION_073;Integration;7,9;18;0;0;1;1;2;B
PRJ_INTEGRATION_074;Integration;7;17;0;0;2;1;1;B
PRJ_INTEGRATION_075;Integration;17,8;18;0;0;1;1;2;B
PRJ_INTEGRATION_076;Integration;10,5;13;0;0;1;1;1;B
PRJ_INTEGRATION_077;Integration;7,9;9;0;0;1;0;1;B
PRJ_INTEGRATION_078;Integration;7;8;0;0;2;0;0;B
