PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;DATASET_TYPE
EX_47;Standard;46,28;322;9;7;40;2;3;EXT
EX_48;Standard;690;138;1;4;4;16;4;EXT
EX_49;Standard;47,48;225;1;11;20;7;6;EXT
EX_50;Standard;107,38;539;12;10;29;17;33;EXT
EX_51;Standard;959,31;643;11;17;19;47;30;EXT
EX_52;Standard;226,59;668;9;5;24;48;51;EXT
EX_53;Standard;265,37;536;6;23;19;21;31;EXT
EX_54;Standard;295,37;121;4;1;4;7;6;EXT
EX_55;Standard;3960;792;20;22;5;72;26;EXT
EX_56;Standard;1106,38;507;20;5;8;15;36;EXT
EX_57;Standard;370,24;753;14;10;60;42;27;EXT
EX_58;Standard;118,27;356;5;17;14;9;19;EXT
EX_59;Standard;69,97;210;5;5;19;1;9;EXT
EX_60;Standard;3335;667;16;19;13;38;34;EXT
EX_61;Standard;2125;425;12;10;14;31;11;EXT
EX_62;Standard;371,36;789;11;13;73;49;20;EXT
EX_63;Standard;3683,21;759;16;16;38;60;19;EXT
EX_64;Standard;439,64;847;25;4;41;40;49;EXT
EX_65;Standard;711,1;685;20;7;12;32;52;EXT
EX_66;Standard;585;117;3;2;7;10;1;EXT
EX_67;Standard;1085;217;8;2;10;12;7;EXT
EX_68;Standard;39,77;222;3;1;12;8;21;EXT
EX_69;Standard;2780;556;13;9;27;45;15;EXT
EX_70;Standard;223,49;340;5;7;19;25;13;EXT
EX_71;Standard;885;177;5;5;9;9;4;EXT
EX_72;Standard;49,61;398;3;1;49;10;25;EXT
EX_73;Standard;1550;310;11;9;12;11;9;EXT
EX_74;Standard;403,42;356;2;4;11;36;24;EXT
EX_75;Standard;2945;589;21;17;26;34;4;EXT
EX_76;Standard;1545;309;9;6;8;20;13;EXT
EX_77;Standard;536,61;924;2;24;25;64;76;EXT
EX_78;Standard;200,77;403;12;11;34;5;10;EXT
EX_79;Standard;571,05;884;30;16;59;24;28;EXT
EX_80;Standard;31,54;182;1;2;17;10;10;EXT
MI_01;Standard;143,86;294;5;6;14;19;14;MIS
MI_02;Standard;211,9;404;9;10;16;25;16;MIS
MI_03;Standard;198,82;390;9;9;19;24;13;MIS
MI_04;Standard;246,17;470;9;13;25;26;17;MIS
MI_05;Standard;340,5;653;14;17;30;36;26;MIS
MI_06;Standard;232,85;471;9;11;19;32;20;MIS
MI_07;Standard;283,23;539;12;16;22;31;19;MIS
MI_08;Standard;100,99;211;4;5;8;16;8;MIS
MI_09;Standard;213,74;413;7;12;20;26;15;MIS
MI_10;Standard;247,64;518;9;15;24;33;19;MIS
MI_11;Standard;118,38;226;5;6;9;12;10;MIS
MI_12;Standard;184,41;361;7;8;17;23;15;MIS
MI_13;Standard;155,41;320;6;8;12;24;12;MIS
MI_14;Standard;266,17;515;10;14;27;26;21;MIS
MI_15;Standard;167,69;345;7;8;17;24;11;MIS
MI_16;Standard;108,22;216;4;4;11;16;8;MIS
MI_17;Standard;318,85;658;11;16;34;35;32;MIS
MI_18;Standard;214,4;428;8;13;15;28;17;MIS
MI_19;Standard;160,43;318;6;7;11;20;17;MIS
MI_20;Standard;271,09;540;11;14;26;27;24;MIS
MI_21;Standard;122,01;243;5;5;10;17;10;MIS
MI_22;Standard;194,85;388;9;9;14;26;15;MIS
MI_23;Standard;108,08;210;5;5;8;12;9;MIS
MI_24;Standard;206,43;415;7;12;22;27;13;MIS
MI_25;Standard;173,91;337;8;11;12;18;12;MIS
MI_26;Standard;178,81;361;8;9;15;22;14;MIS
MI_27;Standard;240,41;468;8;13;27;31;13;MIS
MI_28;Standard;130,47;269;6;7;10;20;8;MIS
MI_29;Standard;198,44;387;6;12;18;24;15;MIS
MI_30;Standard;275,19;550;9;12;29;35;24;MIS
MI_31;Standard;179,06;344;6;6;14;29;14;MIS
MI_32;Standard;174,84;365;7;9;16;17;20;MIS
MI_33;Standard;63,1;132;2;5;4;9;5;MIS
MI_34;Standard;86,6;169;4;4;8;11;5;MIS
MI_35;Standard;174,16;350;5;8;12;29;16;MIS
MI_36;Standard;151,99;293;8;8;11;17;9;MIS
MI_37;Standard;234,49;483;8;17;21;30;16;MIS
MI_38;Standard;280,62;563;10;18;24;34;21;MIS
MI_39;Standard;193,51;370;8;7;17;27;13;MIS
MI_40;Standard;193,47;375;7;8;12;29;17;MIS
MI_41;Standard;245,8;490;9;11;23;29;23;MIS
MI_42;Standard;149,33;291;9;7;12;16;8;MIS
MI_43;Standard;181,04;368;6;7;12;29;19;MIS
MI_44;Standard;204,25;401;10;8;23;22;13;MIS
MI_45;Standard;131,72;265;7;5;10;15;12;MIS
MI_46;Standard;134,9;282;6;7;13;14;13;MIS
MI_47;Standard;97,39;190;3;5;10;10;9;MIS
MI_48;Standard;164,94;339;6;8;14;23;15;MIS
MI_49;Standard;166,65;338;8;11;12;17;13;MIS
MI_50;Standard;255,27;520;11;12;23;36;18;MIS
MI_51;Standard;91,64;188;3;5;10;12;7;MIS
MI_52;Standard;277,13;564;13;13;20;32;27;MIS
MI_53;Standard;236,18;494;8;15;14;37;21;MIS
MI_54;Standard;114,99;237;4;6;9;16;11;MIS
MI_55;Standard;207,46;413;7;10;18;29;17;MIS
MI_56;Standard;200,7;399;8;10;15;26;17;MIS
MI_57;Standard;156,57;323;6;8;13;20;15;MIS
MI_58;Standard;229,89;468;11;9;20;25;23;MIS
MI_59;Standard;249,37;500;7;12;27;32;22;MIS
MI_60;Standard;243,95;484;8;13;22;30;21;MIS
MI_61;Standard;247,5;511;10;15;22;32;18;MIS
MI_62;Standard;282,84;556;11;14;25;27;28;MIS
MI_63;Standard;210,27;420;11;7;17;32;13;MIS
MI_64;Standard;256,19;513;10;15;23;29;20;MIS
MI_65;Standard;162,47;323;6;6;20;14;17;MIS
MI_66;Standard;246,11;491;8;15;26;33;14;MIS
MI_67;Standard;223,61;468;8;13;21;32;17;MIS
MI_68;Standard;81,14;160;3;4;6;12;6;MIS
MI_69;Standard;213,01;428;11;10;17;25;16;MIS
MI_70;Standard;65,3;127;2;3;7;7;6;MIS
MI_71;Standard;80,11;156;3;4;7;10;6;MIS
MI_72;Standard;112,52;214;4;5;11;10;11;MIS
MI_73;Standard;226,23;469;9;14;26;23;17;MIS
MI_74;Standard;176,39;363;9;7;17;24;12;MIS
MI_75;Standard;203,12;411;8;9;20;27;16;MIS
MI_76;Standard;125,98;242;4;8;9;15;10;MIS
MI_77;Standard;196,95;396;8;8;21;29;12;MIS
MI_78;Standard;164,17;332;7;10;11;22;12;MIS
MI_79;Standard;76,12;147;3;3;5;9;8;MIS
MI_80;Standard;65,33;136;2;3;6;9;7;MIS
