PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;DATASET_TYPE
MI_29;Extreme;198,44;387;6;12;18;24;15;MIS
MI_30;Extreme;275,19;550;9;12;29;35;24;MIS
MI_31;Extreme;179,06;344;6;6;14;29;14;MIS
MI_32;Extreme;174,84;365;7;9;16;17;20;MIS
MI_33;Extreme;63,1;132;2;5;4;9;5;MIS
MI_34;Extreme;86,6;169;4;4;8;11;5;MIS
MI_35;Extreme;174,16;350;5;8;12;29;16;MIS
MI_36;Extreme;151,99;293;8;8;11;17;9;MIS
MI_37;Extreme;234,49;483;8;17;21;30;16;MIS
MI_38;Extreme;280,62;563;10;18;24;34;21;MIS
MI_39;Extreme;193,51;370;8;7;17;27;13;MIS
MI_40;Extreme;193,47;375;7;8;12;29;17;MIS
MI_41;Extreme;245,8;490;9;11;23;29;23;MIS
MI_42;Extreme;149,33;291;9;7;12;16;8;MIS
MI_43;Extreme;181,04;368;6;7;12;29;19;MIS
MI_44;Extreme;204,25;401;10;8;23;22;13;MIS
MI_45;Extreme;131,72;265;7;5;10;15;12;MIS
MI_46;Extreme;134,9;282;6;7;13;14;13;MIS
MI_47;Extreme;97,39;190;3;5;10;10;9;MIS
MI_48;Extreme;164,94;339;6;8;14;23;15;MIS
MI_49;Extreme;166,65;338;8;11;12;17;13;MIS
MI_50;Extreme;255,27;520;11;12;23;36;18;MIS
MI_51;Extreme;91,64;188;3;5;10;12;7;MIS
MI_52;Extreme;277,13;564;13;13;20;32;27;MIS
MI_53;Extreme;236,18;494;8;15;14;37;21;MIS
MI_54;Extreme;114,99;237;4;6;9;16;11;MIS
MI_55;Extreme;207,46;413;7;10;18;29;17;MIS
MI_56;Extreme;200,7;399;8;10;15;26;17;MIS
MI_57;Extreme;156,57;323;6;8;13;20;15;MIS
MI_58;Extreme;229,89;468;11;9;20;25;23;MIS
MI_59;Extreme;249,37;500;7;12;27;32;22;MIS
MI_60;Extreme;243,95;484;8;13;22;30;21;MIS
MI_61;Extreme;247,5;511;10;15;22;32;18;MIS
MI_62;Extreme;282,84;556;11;14;25;27;28;MIS
MI_63;Extreme;210,27;420;11;7;17;32;13;MIS
MI_64;Extreme;256,19;513;10;15;23;29;20;MIS
MI_65;Extreme;162,47;323;6;6;20;14;17;MIS
MI_66;Extreme;246,11;491;8;15;26;33;14;MIS
MI_67;Extreme;223,61;468;8;13;21;32;17;MIS
MI_68;Extreme;81,14;160;3;4;6;12;6;MIS
MI_69;Extreme;213,01;428;11;10;17;25;16;MIS
MI_70;Extreme;65,3;127;2;3;7;7;6;MIS
MI_71;Extreme;80,11;156;3;4;7;10;6;MIS
MI_72;Extreme;112,52;214;4;5;11;10;11;MIS
MI_73;Extreme;226,23;469;9;14;26;23;17;MIS
MI_74;Extreme;176,39;363;9;7;17;24;12;MIS
MI_75;Extreme;203,12;411;8;9;20;27;16;MIS
MI_76;Extreme;125,98;242;4;8;9;15;10;MIS
MI_77;Extreme;196,95;396;8;8;21;29;12;MIS
MI_78;Extreme;164,17;332;7;10;11;22;12;MIS
MI_79;Extreme;76,12;147;3;3;5;9;8;MIS
MI_80;Extreme;65,33;136;2;3;6;9;7;MIS
