PROJECT_CODE,APPLICATION_DOMAIN,CLUSTER,DATASET_TYPE,DIST_STRUTTURALE,IFPUG_PROD_ATTESA_FP
PRJ_BILLING_033,Billing,0,B,0.3564504418804663,1.2881986478889764
PRJ_BILLING_034,Billing,0,B,0.19865039845899873,1.6935601515799847
PRJ_BILLING_035,Billing,0,B,0.37908110891606417,2.08309418910667
PRJ_BILLING_036,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_037,Billing,0,B,0.41133289626936953,1.771672046304701
PRJ_BILLING_038,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_039,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_040,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_041,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_042,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_043,Billing,0,B,0.42644223454232244,1.096069540153021
PRJ_BILLING_044,Billing,0,B,0.3463644178056444,1.433870793228861
PRJ_BILLING_045,Billing,0,B,0.1296458965007914,1.636255143226764
PRJ_BILLING_046,Billing,0,B,0.020454345389942293,1.8388864947643346
PRJ_BILLING_047,Billing,0,B,0.24960578864468919,1.5010852416884946
PRJ_BILLING_048,Billing,0,B,0.09732691986868641,1.7376325693804664
PRJ_BILLING_049,Billing,0,B,0.020454345389942293,1.8388864947643346
PRJ_BILLING_050,Billing,0,B,0.09732691986868641,1.7376325693804664
PRJ_BILLING_051,Billing,0,B,0.2633161569851686,2.001134429948953
PRJ_BILLING_052,Billing,0,B,0.09732691986868641,1.7376325693804664
PRJ_BILLING_053,Billing,0,B,0.08810946535751618,1.8296198628588685
PRJ_BILLING_054,Billing,0,B,0.7752296228535718,2.4472745524563813
PRJ_BILLING_055,Billing,0,B,0.19865039845899873,1.6935601515799847
PRJ_BILLING_056,Billing,0,B,0.5425592689038318,1.1354840928962555
PRJ_BILLING_057,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_058,Billing,0,B,0.7752296228535718,2.4472745524563813
PRJ_BILLING_059,Billing,0,B,0.22606979105615177,1.7220644548327941
PRJ_BILLING_060,Billing,0,B,0.4703553260107226,2.031068422913854
PRJ_BILLING_061,Billing,0,B,0.5280027228364328,1.2784875046752386
PRJ_BILLING_062,Billing,0,B,0.1548442725463503,2.0413943455320718
PRJ_DATA_001,Data Platform,0,B,0.19603614870678698,2.3265622879423127
PRJ_DATA_002,Data Platform,0,B,0.39760997573057466,2.623263421989067
PRJ_DATA_003,Data Platform,0,B,0.17537020197414402,2.3615496140339642
PRJ_DATA_004,Data Platform,0,B,0.15739504500517398,2.457350963556366
PRJ_DATA_005,Data Platform,0,B,0.9218902093150123,2.4426371951062613
PRJ_DATA_006,Data Platform,0,B,0.2877219797736918,2.2963521344681497
PRJ_DATA_007,Data Platform,0,B,0.10677574963475345,2.351683751416923
PRJ_DATA_008,Data Platform,0,B,0.10821132818819124,2.43559891133221
PRJ_DATA_009,Data Platform,0,B,0.2778873075007214,2.566732045089776
PRJ_DATA_010,Data Platform,0,B,0.30232931057251483,2.3119448327586563
PRJ_DATA_011,Data Platform,0,B,0.12868359246027744,2.3825153953342912
PRJ_DATA_012,Data Platform,0,B,0.5838751800014891,2.0311917671433792
PRJ_DATA_013,Data Platform,0,B,0.13561044139823578,2.312534313944419
PRJ_DATA_014,Data Platform,0,B,0.1007461740665924,2.3510094268087784
PRJ_DATA_015,Data Platform,0,B,0.20647104706325478,2.5135481226132415
PRJ_DATA_016,Data Platform,0,B,0.08002893374847343,2.360933082091436
PRJ_DATA_017,Data Platform,0,B,0.13313583265388138,2.467108495240537
PRJ_DATA_018,Data Platform,0,B,0.19591534596952323,2.402941135991089
PRJ_DATA_019,Data Platform,0,B,0.09585992861822894,2.397270270403207
PRJ_DATA_020,Data Platform,0,B,0.09585992861822894,2.397270270403207
PRJ_DATA_021,Data Platform,0,B,0.5225113889885874,2.645197200575486
PRJ_DATA_022,Data Platform,0,B,0.1423188704903762,2.3657502303106672
PRJ_DATA_023,Data Platform,0,B,0.6736484988632865,2.695837201942792
PRJ_DATA_024,Data Platform,0,B,0.14783060670349038,2.241052842920224
PRJ_DATA_025,Data Platform,0,B,0.2782873675699208,2.2568777164870464
PRJ_DATA_026,Data Platform,0,B,0.30570672251259606,2.2698706664695374
PRJ_DATA_027,Data Platform,0,B,0.2921680425945111,2.2199245511344845
PRJ_DATA_028,Data Platform,0,B,0.8150975938756283,1.8953793729876187
PRJ_DATA_029,Data Platform,0,B,0.5308221295880636,2.7016195855448966
PRJ_DATA_030,Data Platform,0,B,0.5308221295880636,2.7016195855448966
PRJ_DATA_031,Data Platform,0,B,0.3707241077967599,2.1670041612991398
PRJ_DATA_032,Data Platform,0,B,0.30135938194542183,2.297343002545837
PRJ_DATA_033,Data Platform,0,B,0.36350078787584217,2.636873987935238
PRJ_DATA_034,Data Platform,0,B,0.8025883128055911,2.7062454924265804
PRJ_DATA_035,Data Platform,0,B,0.5169631192176234,2.699306632104055
PRJ_DATA_036,Data Platform,0,B,0.2840764566831788,2.23491035837702
PRJ_DATA_037,Data Platform,0,B,0.6990957347853919,2.495358854570325
PRJ_DATA_038,Data Platform,0,B,0.7657921883252531,1.8014919659591127
PRJ_DATA_039,Data Platform,0,B,0.2840764566831788,2.23491035837702
PRJ_DATA_040,Data Platform,0,B,0.5169631192176234,2.699306632104055
PRJ_DATA_041,Data Platform,0,B,0.8025883128055911,2.7062454924265804
PRJ_DATA_042,Data Platform,0,B,0.6417522674691885,2.6963328348229725
PRJ_DATA_043,Data Platform,0,B,0.16164904235632077,2.3894072686359067
PRJ_DATA_044,Data Platform,0,B,0.13313583265388138,2.467108495240537
PRJ_DATA_045,Data Platform,0,B,0.37823791947118496,2.1675767677985114
PRJ_DATA_046,Data Platform,0,B,0.09585992861822894,2.397270270403207
PRJ_DATA_047,Data Platform,0,B,0.3266152335904427,2.5385211802807675
PRJ_DATA_048,Data Platform,0,B,0.5169631192176234,2.699306632104055
PRJ_DATA_049,Data Platform,0,B,0.9218902093150123,2.4426371951062613
PRJ_DATA_050,Data Platform,0,B,0.9218902093150123,2.4426371951062613
PRJ_DATA_051,Data Platform,0,B,0.22979240299658968,2.34808735350682
PRJ_DATA_052,Data Platform,0,B,0.17537020197414402,2.3615496140339642
PRJ_DATA_053,Data Platform,0,B,0.10677574963475345,2.351683751416923
PRJ_DATA_054,Data Platform,0,B,0.12868359246027744,2.3825153953342912
PRJ_DATA_055,Data Platform,0,B,0.13561044139823578,2.312534313944419
PRJ_DATA_056,Data Platform,0,B,0.13313583265388138,2.467108495240537
PRJ_DATA_057,Data Platform,0,B,0.19591534596952323,2.402941135991089
PRJ_DATA_058,Data Platform,0,B,0.37823791947118496,2.1675767677985114
PRJ_DATA_059,Data Platform,0,B,0.3266152335904427,2.5385211802807675
PRJ_DATA_060,Data Platform,0,B,0.5169631192176234,2.699306632104055
PRJ_DATA_061,Data Platform,0,B,0.2778873075007214,2.566732045089776
PRJ_DATA_062,Data Platform,0,B,0.30232931057251483,2.3119448327586563
PRJ_DATA_063,Data Platform,0,B,0.8150975938756283,1.8953793729876187
PRJ_DATA_064,Data Platform,0,B,0.5308221295880636,2.7016195855448966
PRJ_DATA_065,Data Platform,0,B,0.30135938194542183,2.297343002545837
PRJ_DATA_066,Data Platform,0,B,0.9218902093150123,2.4426371951062613
PRJ_DATA_067,Data Platform,0,B,0.19603614870678698,2.3265622879423127
PRJ_INTEGRATION_001,Integration,0,B,0.0843694796929781,1.8093164907131887
PRJ_INTEGRATION_002,Integration,0,B,0.0798251933677731,1.8092441852152223
PRJ_INTEGRATION_003,Integration,0,B,0.2526549880368842,1.8033282834818323
PRJ_INTEGRATION_004,Integration,0,B,0.06869358061807063,1.8213831603348767
PRJ_INTEGRATION_005,Integration,0,B,0.05502181888728186,1.8121528368787585
PRJ_INTEGRATION_006,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_007,Integration,0,B,0.09169376650873938,1.8156432188750022
PRJ_INTEGRATION_008,Integration,0,B,0.09383576887591034,1.8132887721888136
PRJ_INTEGRATION_009,Integration,0,B,0.09383576887591034,1.8132887721888136
PRJ_INTEGRATION_010,Integration,0,B,0.0740812984994333,1.8107897145066927
PRJ_INTEGRATION_011,Integration,0,B,0.0310675839979074,1.8145164586834002
PRJ_INTEGRATION_012,Integration,0,B,0.11429374026215236,1.8169718316725731
PRJ_INTEGRATION_013,Integration,0,B,0.09169376650873938,1.8156432188750022
PRJ_INTEGRATION_014,Integration,0,B,0.0310675839979074,1.8145164586834002
PRJ_INTEGRATION_015,Integration,0,B,0.0310675839979074,1.8145164586834002
PRJ_INTEGRATION_016,Integration,0,B,0.0310675839979074,1.8145164586834002
PRJ_INTEGRATION_017,Integration,0,B,0.07902745129026453,1.8131080084438977
PRJ_INTEGRATION_018,Integration,0,B,0.014081990444285196,1.8182307215192655
PRJ_INTEGRATION_019,Integration,0,B,0.3454098871276873,1.8088826577253905
PRJ_INTEGRATION_020,Integration,0,B,0.11429374026215236,1.8169718316725731
PRJ_INTEGRATION_021,Integration,0,B,0.07902745129026453,1.8131080084438977
PRJ_INTEGRATION_022,Integration,0,B,0.39385477734408514,1.804363566181238
PRJ_INTEGRATION_023,Integration,0,B,0.11429374026215236,1.8169718316725731
PRJ_INTEGRATION_024,Integration,0,B,0.7161426544768053,1.7772490169163235
PRJ_INTEGRATION_025,Integration,0,B,0.09947347934968134,1.8191748889042847
PRJ_INTEGRATION_026,Integration,0,B,0.13390010870710353,1.8250610056197558
PRJ_INTEGRATION_027,Integration,0,B,0.2838970373893624,1.815209385887204
PRJ_INTEGRATION_028,Integration,0,B,0.014081990444285196,1.8182307215192655
PRJ_INTEGRATION_029,Integration,0,B,0.014081990444285196,1.8182307215192655
PRJ_INTEGRATION_030,Integration,0,B,0.2838970373893624,1.815209385887204
PRJ_INTEGRATION_031,Integration,0,B,0.13390010870710353,1.8250610056197558
PRJ_INTEGRATION_032,Integration,0,B,0.08023056709790345,1.8249163946238234
PRJ_INTEGRATION_033,Integration,0,B,0.08023056709790345,1.8249163946238234
PRJ_INTEGRATION_034,Integration,0,B,0.13390010870710353,1.8250610056197558
PRJ_INTEGRATION_035,Integration,0,B,0.13390010870710353,1.8250610056197558
PRJ_INTEGRATION_036,Integration,0,B,0.08023056709790345,1.8249163946238234
PRJ_INTEGRATION_037,Integration,0,B,0.3037702420502136,1.8346234033604423
PRJ_INTEGRATION_038,Integration,0,B,0.13390010870710353,1.8250610056197558
PRJ_INTEGRATION_039,Integration,0,B,0.3037702420502136,1.8346234033604423
PRJ_INTEGRATION_040,Integration,0,B,0.3037702420502136,1.8346234033604423
PRJ_INTEGRATION_041,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_042,Integration,0,B,0.2180179680847432,1.8246994781299242
PRJ_INTEGRATION_043,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_044,Integration,0,B,0.2180179680847432,1.8246994781299242
PRJ_INTEGRATION_045,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_046,Integration,0,B,0.08023056709790345,1.8249163946238234
PRJ_INTEGRATION_047,Integration,0,B,0.08023056709790345,1.8249163946238234
PRJ_INTEGRATION_048,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_049,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_050,Integration,0,B,0.23416042466820217,1.8368332390506983
PRJ_INTEGRATION_051,Integration,0,B,0.23416042466820217,1.8368332390506983
PRJ_INTEGRATION_052,Integration,0,B,0.24308231532419602,1.8405162985344576
PRJ_INTEGRATION_053,Integration,0,B,0.2180179680847432,1.8246994781299242
PRJ_INTEGRATION_054,Integration,0,B,0.23416042466820217,1.8368332390506983
PRJ_INTEGRATION_055,Integration,0,B,0.24308231532419602,1.8405162985344576
PRJ_INTEGRATION_056,Integration,0,B,0.27955002631722986,1.7934273648106887
PRJ_INTEGRATION_057,Integration,0,B,0.24308231532419602,1.8405162985344576
PRJ_INTEGRATION_058,Integration,0,B,0.24308231532419602,1.8405162985344576
PRJ_INTEGRATION_059,Integration,0,B,0.24308231532419602,1.8405162985344576
PRJ_INTEGRATION_060,Integration,0,B,0.24308231532419602,1.8405162985344576
PRJ_INTEGRATION_061,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_062,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_063,Integration,0,B,0.1042324680725772,1.8103457138310781
PRJ_INTEGRATION_064,Integration,0,B,0.09406763124604375,1.8249952733488772
PRJ_INTEGRATION_065,Integration,0,B,0.09169376650873938,1.8156432188750022
PRJ_INTEGRATION_066,Integration,0,B,0.11164826848071478,1.8279357308645912
PRJ_INTEGRATION_067,Integration,0,B,0.09169376650873938,1.8156432188750022
PRJ_INTEGRATION_068,Integration,0,B,0.21104296642596995,1.796663034389562
PRJ_INTEGRATION_069,Integration,0,B,0.09947347934968134,1.8191748889042847
PRJ_INTEGRATION_070,Integration,0,B,0.13390010870710353,1.8250610056197558
PRJ_INTEGRATION_071,Integration,0,B,0.08023056709790345,1.8249163946238234
PRJ_INTEGRATION_072,Integration,0,B,0.13390010870710353,1.8250610056197558
PRJ_INTEGRATION_073,Integration,0,B,0.2180179680847432,1.8246994781299242
PRJ_INTEGRATION_074,Integration,0,B,0.23416042466820217,1.8368332390506983
PRJ_INTEGRATION_075,Integration,0,B,0.2180179680847432,1.8246994781299242
PRJ_INTEGRATION_076,Integration,0,B,0.24308231532419602,1.8405162985344576
PRJ_INTEGRATION_077,Integration,0,B,0.165707096127686,1.8015165387578715
PRJ_INTEGRATION_078,Integration,0,B,0.7362454630441234,1.8257840605994193
