PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO
EX_33;Extreme_Bad_Profile;3425,0;685;14;5;16;99;10
EX_34;Extreme_Bad_Profile;147,36;403;5;12;22;19;21
EX_35;Extreme_Bad_Profile;3125,0;625;15;6;20;57;25
EX_36;Extreme_Bad_Profile;3545,0;709;3;48;9;58;15
EX_37;Extreme_Bad_Profile;81,47;250;3;2;10;9;26
EX_38;Extreme_Bad_Profile;275,69;143;5;1;7;7;6
EX_39;Extreme_Bad_Profile;2905,0;581;13;15;12;67;6
EX_40;Extreme_Bad_Profile;166,69;386;20;2;35;3;4
EX_41;Extreme_Bad_Profile;24,87;140;2;2;17;7;2
EX_42;Extreme_Bad_Profile;3295,0;659;12;19;20;64;14
EX_43;Extreme_Bad_Profile;134,83;427;3;16;44;21;5
EX_44;Extreme_Bad_Profile;3240,0;648;12;26;19;35;26
EX_45;Extreme_Bad_Profile;396,06;575;5;12;68;36;5
EX_46;Extreme_Bad_Profile;136,86;448;5;6;39;15;28
EX_47;Extreme_Bad_Profile;46,28;322;9;7;40;2;3
EX_48;Extreme_Bad_Profile;690,0;138;1;4;4;16;4
EX_49;Extreme_Bad_Profile;47,48;225;1;11;20;7;6
EX_50;Extreme_Bad_Profile;107,38;539;12;10;29;17;33
EX_51;Extreme_Bad_Profile;959,31;643;11;17;19;47;30
EX_52;Extreme_Bad_Profile;226,59;668;9;5;24;48;51
EX_53;Extreme_Bad_Profile;265,37;536;6;23;19;21;31
EX_54;Extreme_Bad_Profile;295,37;121;4;1;4;7;6
EX_55;Extreme_Bad_Profile;3960,0;792;20;22;5;72;26
EX_56;Extreme_Bad_Profile;1106,38;507;20;5;8;15;36
EX_57;Extreme_Bad_Profile;370,24;753;14;10;60;42;27
EX_58;Extreme_Bad_Profile;118,27;356;5;17;14;9;19
EX_59;Extreme_Bad_Profile;69,97;210;5;5;19;1;9
EX_60;Extreme_Bad_Profile;3335,0;667;16;19;13;38;34
EX_61;Extreme_Bad_Profile;2125,0;425;12;10;14;31;11
EX_62;Extreme_Bad_Profile;371,36;789;11;13;73;49;20
EX_63;Extreme_Bad_Profile;3683,21;759;16;16;38;60;19
EX_64;Extreme_Bad_Profile;439,64;847;25;4;41;40;49
EX_65;Extreme_Bad_Profile;711,1;685;20;7;12;32;52
EX_66;Extreme_Bad_Profile;585,0;117;3;2;7;10;1
EX_67;Extreme_Bad_Profile;1085,0;217;8;2;10;12;7
EX_68;Extreme_Bad_Profile;39,77;222;3;1;12;8;21
EX_69;Extreme_Bad_Profile;2780,0;556;13;9;27;45;15
EX_70;Extreme_Bad_Profile;223,49;340;5;7;19;25;13
EX_71;Extreme_Bad_Profile;885,0;177;5;5;9;9;4
EX_72;Extreme_Bad_Profile;49,61;398;3;1;49;10;25
EX_73;Extreme_Bad_Profile;1550,0;310;11;9;12;11;9
EX_74;Extreme_Bad_Profile;403,42;356;2;4;11;36;24
EX_75;Extreme_Bad_Profile;2945,0;589;21;17;26;34;4
EX_76;Extreme_Bad_Profile;1545,0;309;9;6;8;20;13
EX_77;Extreme_Bad_Profile;536,61;924;2;24;25;64;76
EX_78;Extreme_Bad_Profile;200,77;403;12;11;34;5;10
EX_79;Extreme_Bad_Profile;571,05;884;30;16;59;24;28
EX_80;Extreme_Bad_Profile;31,54;182;1;2;17;10;10
