PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;IFPUG_PROD_GREZZA_FP;IS_ILF;IS_EIF;IS_EI;IS_EQ;IS_EO;IFPUG_PROD_ATTESA_FP;STRUCTURAL_PROD_INDEX;DIST_STRUTTURALE;CLUSTER;DATASET_TYPE;CLASSE_COERENZA;NOTE_PROFILO
PRJ_BILLING_011;Billing;20,50;42,00;1,00;1,00;3,00;2,00;1,00;2,05;0,12;0,12;0,38;0,25;0,12;2,00;1,02;0,26;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_012;Billing;20,10;42,00;2,00;0,00;2,00;1,00;2,00;2,09;0,29;0,00;0,29;0,14;0,29;1,94;1,08;0,14;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_013;Billing;50,00;59,00;5,00;0,00;1,00;0,00;1,00;1,18;0,71;0,00;0,14;0,00;0,14;2,24;0,53;0,63;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_014;Billing;31,50;49,00;0,00;0,00;5,00;1,00;5,00;1,56;0,00;0,00;0,45;0,09;0,45;1,55;1,00;0,26;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_015;Billing;18,00;39,00;1,00;0,00;1,00;5,00;1,00;2,17;0,12;0,00;0,12;0,62;0,12;2,39;0,91;0,53;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_016;Billing;20,20;36,00;1,00;0,00;3,00;1,00;2,00;1,78;0,14;0,00;0,43;0,14;0,29;1,64;1,09;0,13;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_017;Billing;15,00;33,00;2,00;0,00;1,00;1,00;1,00;2,20;0,40;0,00;0,20;0,20;0,20;2,15;1,03;0,29;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_018;Billing;37,90;40,00;0,00;0,00;3,00;2,00;4,00;1,06;0,00;0,00;0,33;0,22;0,44;1,84;0,58;0,20;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_019;Billing;10,00;33,00;2,00;0,00;1,00;1,00;1,00;3,30;0,40;0,00;0,20;0,20;0,20;2,15;1,54;0,29;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_020;Billing;16,80;33,00;1,00;0,00;1,00;1,00;3,00;1,96;0,17;0,00;0,17;0,17;0,50;2,18;0,90;0,22;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_021;Billing;60,00;40,00;2,00;0,00;3,00;2,00;0,00;0,67;0,29;0,00;0,43;0,29;0,00;1,69;0,39;0,39;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_022;Billing;47,90;39,00;0,00;0,00;3,00;3,00;3,00;0,81;0,00;0,00;0,33;0,33;0,33;1,87;0,44;0,23;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_023;Billing;16,20;30,00;0,00;0,00;4,00;1,00;2,00;1,85;0,00;0,00;0,57;0,14;0,29;1,33;1,39;0,31;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_024;Billing;28,90;35,00;0,00;0,00;2,00;3,00;3,00;1,21;0,00;0,00;0,25;0,38;0,38;2,05;0,59;0,27;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_025;Billing;35,00;34,00;0,00;0,00;3,00;3,00;2,00;0,97;0,00;0,00;0,38;0,38;0,25;1,79;0,54;0,28;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_026;Billing;24,60;33,00;0,00;0,00;3,00;4,00;1,00;1,34;0,00;0,00;0,38;0,50;0,12;1,83;0,73;0,42;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_027;Billing;26,00;32,00;2,00;0,00;3,00;0,00;0,00;1,23;0,40;0,00;0,60;0,00;0,00;1,28;0,96;0,53;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_028;Billing;6,20;23,00;1,00;0,00;1,00;1,00;1,00;3,71;0,25;0,00;0,25;0,25;0,25;2,04;1,82;0,15;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_029;Billing;8,00;25,00;1,00;0,00;0,00;0,00;3,00;3,12;0,25;0,00;0,00;0,00;0,75;2,48;1,26;0,56;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_030;Billing;9,00;23,00;0,00;0,00;1,00;1,00;3,00;2,56;0,00;0,00;0,20;0,20;0,60;2,10;1,22;0,33;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_031;Billing;20,30;26,00;0,00;0,00;3,00;1,00;2,00;1,28;0,00;0,00;0,50;0,17;0,33;1,48;0,86;0,25;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_032;Billing;10,00;21,00;0,00;0,00;3,00;1,00;1,00;2,10;0,00;0,00;0,60;0,20;0,20;1,29;1,63;0,36;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_033;Billing;6,20;21,00;0,00;0,00;3,00;1,00;1,00;3,39;0,00;0,00;0,60;0,20;0,20;1,29;2,63;0,36;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_034;Billing;7,30;22,00;0,00;0,00;2,00;1,00;2,00;3,01;0,00;0,00;0,40;0,20;0,40;1,69;1,78;0,20;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_035;Billing;5,00;17,00;0,00;0,00;1,00;2,00;1,00;3,40;0,00;0,00;0,25;0,50;0,25;2,08;1,63;0,38;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_036;Billing;4,00;13,00;0,00;0,00;1,00;1,00;1,00;3,25;0,00;0,00;0,33;0,33;0,33;1,87;1,74;0,23;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_037;Billing;10,00;14,00;0,00;0,00;1,00;0,00;2,00;1,40;0,00;0,00;0,33;0,00;0,67;1,77;0,79;0,41;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_038;Billing;8,00;13,00;0,00;0,00;1,00;1,00;1,00;1,62;0,00;0,00;0,33;0,33;0,33;1,87;0,87;0,23;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_039;Billing;10,00;13,00;0,00;0,00;1,00;1,00;1,00;1,30;0,00;0,00;0,33;0,33;0,33;1,87;0,70;0,23;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_040;Billing;9,00;13,00;0,00;0,00;1,00;1,00;1,00;1,44;0,00;0,00;0,33;0,33;0,33;1,87;0,77;0,23;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_041;Billing;13,00;13,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,33;0,33;0,33;1,87;0,54;0,23;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_042;Billing;11,90;13,00;0,00;0,00;1,00;1,00;1,00;1,09;0,00;0,00;0,33;0,33;0,33;1,87;0,59;0,23;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_043;Billing;20,00;13,00;0,00;0,00;2,00;0,00;1,00;0,65;0,00;0,00;0,67;0,00;0,33;1,10;0,59;0,43;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_044;Billing;14,20;9,00;0,00;0,00;1,00;0,00;1,00;0,63;0,00;0,00;0,50;0,00;0,50;1,43;0,44;0,35;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_045;Billing;22,00;36,00;1,00;0,00;3,00;1,00;2,00;1,64;0,14;0,00;0,43;0,14;0,29;1,64;1,00;0,13;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_046;Billing;17,00;32,00;1,00;0,00;2,00;1,00;2,00;1,88;0,17;0,00;0,33;0,17;0,33;1,84;1,02;0,02;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_047;Billing;19,00;31,00;1,00;0,00;3,00;1,00;1,00;1,63;0,17;0,00;0,50;0,17;0,17;1,50;1,09;0,25;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_048;Billing;24,00;41,00;1,00;0,00;3,00;1,00;3,00;1,71;0,12;0,00;0,38;0,12;0,38;1,74;0,98;0,10;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_049;Billing;18,00;32,00;1,00;0,00;2,00;1,00;2,00;1,78;0,17;0,00;0,33;0,17;0,33;1,84;0,97;0,02;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_050;Billing;22,00;41,00;1,00;0,00;3,00;1,00;3,00;1,86;0,12;0,00;0,38;0,12;0,38;1,74;1,07;0,10;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_051;Billing;21,50;42,00;1,00;1,00;3,00;2,00;1,00;1,95;0,12;0,12;0,38;0,25;0,12;2,00;0,98;0,26;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_052;Billing;23,00;41,00;1,00;0,00;3,00;1,00;3,00;1,78;0,12;0,00;0,38;0,12;0,38;1,74;1,03;0,10;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_053;Billing;31,00;51,00;2,00;0,00;3,00;1,00;3,00;1,65;0,22;0,00;0,33;0,11;0,33;1,83;0,90;0,09;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_054;Billing;10,00;40,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;1,00;2,45;1,63;0,78;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_055;Billing;10,80;22,00;0,00;0,00;2,00;1,00;2,00;2,04;0,00;0,00;0,40;0,20;0,40;1,69;1,20;0,20;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_056;Billing;20,00;18,00;1,00;0,00;2,00;0,00;0,00;0,90;0,33;0,00;0,67;0,00;0,00;1,14;0,79;0,54;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_057;Billing;8,30;13,00;0,00;0,00;1,00;1,00;1,00;1,57;0,00;0,00;0,33;0,33;0,33;1,87;0,84;0,23;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_058;Billing;3,00;5,00;0,00;0,00;0,00;0,00;1,00;1,67;0,00;0,00;0,00;0,00;1,00;2,45;0,68;0,78;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_059;Billing;52,00;39,00;0,00;0,00;4,00;3,00;3,00;0,75;0,00;0,00;0,40;0,30;0,30;1,72;0,44;0,23;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_060;Billing;28,00;33,00;0,00;0,00;2,00;4,00;1,00;1,18;0,00;0,00;0,29;0,57;0,14;2,03;0,58;0,47;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_061;Billing;23,00;32,00;2,00;0,00;3,00;0,00;0,00;1,39;0,40;0,00;0,60;0,00;0,00;1,28;1,09;0,53;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_062;Billing;4,00;23,00;1,00;0,00;1,00;1,00;1,00;5,75;0,25;0,00;0,25;0,25;0,25;2,04;2,82;0,15;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_001;Data Platform;40,00;125,00;1,00;0,00;10,00;5,00;11,00;3,12;0,04;0,00;0,37;0,19;0,41;2,33;1,34;0,20;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_002;Data Platform;103,00;233,00;15,00;0,00;16,00;1,00;3,00;2,26;0,43;0,00;0,46;0,03;0,09;2,62;0,86;0,40;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_003;Data Platform;36,40;84,00;3,00;0,00;5,00;1,00;6,00;2,31;0,20;0,00;0,33;0,07;0,40;2,36;0,98;0,18;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_DATA_004;Data Platform;21,00;65,00;3,00;0,00;4,00;1,00;3,00;3,10;0,27;0,00;0,36;0,09;0,27;2,46;1,26;0,16;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_005;Data Platform;44,00;84,00;0,00;0,00;0,00;21,00;0,00;1,91;0,00;0,00;0,00;1,00;0,00;2,44;0,78;0,92;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_006;Data Platform;38,00;80,00;4,00;2,00;2,00;2,00;2,00;2,11;0,33;0,17;0,17;0,17;0,17;2,30;0,92;0,29;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_007;Data Platform;33,80;69,00;2,00;0,00;4,00;2,00;5,00;2,04;0,15;0,00;0,31;0,15;0,38;2,35;0,87;0,11;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_DATA_008;Data Platform;87,00;116,00;3,00;0,00;9,00;5,00;6,00;1,33;0,13;0,00;0,39;0,22;0,26;2,44;0,55;0,11;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_009;Data Platform;14,00;51,00;3,00;0,00;3,00;1,00;1,00;3,64;0,38;0,00;0,38;0,12;0,12;2,57;1,42;0,28;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_010;Data Platform;10,00;58,00;3,00;0,00;1,00;1,00;4,00;5,80;0,33;0,00;0,11;0,11;0,44;2,31;2,51;0,30;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_011;Data Platform;18,10;49,00;1,00;0,00;3,00;3,00;3,00;2,71;0,10;0,00;0,30;0,30;0,30;2,38;1,14;0,13;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_DATA_012;Data Platform;15,00;48,00;0,00;0,00;1,00;1,00;8,00;3,20;0,00;0,00;0,10;0,10;0,80;2,03;1,58;0,58;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_013;Data Platform;26,00;56,00;1,00;1,00;4,00;2,00;3,00;2,15;0,09;0,09;0,36;0,18;0,27;2,31;0,93;0,14;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_DATA_014;Data Platform;65,10;82,00;2,00;0,00;5,00;3,00;6,00;1,26;0,12;0,00;0,31;0,19;0,38;2,35;0,54;0,10;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_015;Data Platform;40,00;60,00;3,00;0,00;4,00;1,00;2,00;1,50;0,30;0,00;0,40;0,10;0,20;2,51;0,60;0,21;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_016;Data Platform;36,00;60,00;2,00;0,00;3,00;2,00;4,00;1,67;0,18;0,00;0,27;0,18;0,36;2,36;0,71;0,08;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_017;Data Platform;20,20;46,00;2,00;0,00;3,00;1,00;2,00;2,28;0,25;0,00;0,38;0,12;0,25;2,47;0,92;0,13;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_DATA_018;Data Platform;13,90;40,00;1,00;0,00;2,00;3,00;2,00;2,88;0,12;0,00;0,25;0,38;0,25;2,40;1,20;0,20;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_019;Data Platform;9,30;36,00;1,00;0,00;2,00;2,00;2,00;3,87;0,14;0,00;0,29;0,29;0,29;2,40;1,61;0,10;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_020;Data Platform;11,30;36,00;1,00;0,00;2,00;2,00;2,00;3,19;0,14;0,00;0,29;0,29;0,29;2,40;1,33;0,10;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_021;Data Platform;18,20;38,00;3,00;0,00;1,00;1,00;0,00;2,09;0,60;0,00;0,20;0,20;0,00;2,65;0,79;0,52;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_022;Data Platform;33,00;47,00;2,00;0,00;2,00;1,00;3,00;1,42;0,25;0,00;0,25;0,12;0,38;2,37;0,60;0,14;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_023;Data Platform;14,60;34,00;3,00;0,00;1,00;0,00;0,00;2,33;0,75;0,00;0,25;0,00;0,00;2,70;0,86;0,67;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_024;Data Platform;28,00;39,00;1,00;1,00;2,00;1,00;2,00;1,39;0,14;0,14;0,29;0,14;0,29;2,24;0,62;0,15;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_025;Data Platform;8,00;27,00;0,00;0,00;2,00;1,00;3,00;3,38;0,00;0,00;0,33;0,17;0,50;2,26;1,50;0,28;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_026;Data Platform;11,90;30,00;1,00;1,00;2,00;0,00;1,00;2,52;0,20;0,20;0,40;0,00;0,20;2,27;1,11;0,31;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_027;Data Platform;7,00;24,00;0,00;1,00;2,00;1,00;1,00;3,43;0,00;0,20;0,40;0,20;0,20;2,22;1,54;0,29;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_028;Data Platform;25,20;35,00;0,00;0,00;0,00;0,00;7,00;1,39;0,00;0,00;0,00;0,00;1,00;1,90;0,73;0,82;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_029;Data Platform;3,60;18,00;1,00;0,00;2,00;0,00;0,00;5,00;0,33;0,00;0,67;0,00;0,00;2,70;1,85;0,53;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_030;Data Platform;7,10;18,00;1,00;0,00;2,00;0,00;0,00;2,54;0,33;0,00;0,67;0,00;0,00;2,70;0,94;0,53;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_031;Data Platform;15,40;23,00;0,00;0,00;1,00;1,00;3,00;1,49;0,00;0,00;0,20;0,20;0,60;2,17;0,69;0,37;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_DATA_032;Data Platform;21,40;24,00;1,00;0,00;1,00;0,00;2,00;1,12;0,25;0,00;0,25;0,00;0,50;2,30;0,49;0,30;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_DATA_033;Data Platform;12,00;22,00;1,00;0,00;2,00;1,00;0,00;1,83;0,25;0,00;0,50;0,25;0,00;2,64;0,70;0,36;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
